133,133,132,crop_other
151,151,151,crop_other
159,159,160,crop_other
168,168,169,crop_other
165,166,166,crop_other
154,155,155,crop_other
146,147,147,crop_other
150,150,150,crop_other
158,158,159,crop_other
159,159,160,crop_other
145,146,146,crop_other
129,129,129,crop_other
120,120,120,crop_other
126,126,126,crop_other
139,139,139,crop_other
149,149,149,crop_other
153,154,154,crop_other
160,160,161,crop_other
152,152,152,crop_other
137,137,137,crop_other
134,135,134,crop_other
155,156,156,crop_other
172,173,173,crop_other
161,162,162,crop_other
139,139,139,crop_other
122,122,122,crop_other
123,123,123,crop_other
132,132,132,crop_other
149,149,149,crop_other
154,155,155,crop_other
138,138,138,crop_other
121,121,121,crop_other
121,121,121,crop_other
127,127,127,crop_other
141,141,141,crop_other
146,147,147,crop_other
164,165,165,crop_other
168,168,169,crop_other
151,151,151,crop_other
148,148,148,crop_other
165,166,166,crop_other
176,176,177,crop_other
173,174,174,crop_other
151,151,151,crop_other
133,133,132,crop_other
126,126,126,crop_other
127,127,127,crop_other
142,142,142,crop_other
162,163,163,crop_other
172,173,173,crop_other
172,173,173,crop_other
162,163,163,crop_other
149,149,149,crop_other
148,148,148,crop_other
159,159,160,crop_other
158,158,159,crop_other
147,148,148,crop_other
141,141,141,crop_other
152,152,152,crop_other
156,157,157,crop_other
152,153,153,crop_other
139,139,139,crop_other
125,125,125,crop_other
115,115,114,crop_other
106,106,105,crop_other
99,99,98,crop_other
130,130,130,crop_other
138,138,138,crop_other
147,148,148,crop_other
165,166,166,crop_other
166,167,167,crop_other
148,148,148,crop_other
148,148,148,crop_other
169,169,170,crop_other
181,182,183,crop_other
186,187,187,crop_other
171,172,172,crop_other
151,151,151,crop_other
134,135,134,crop_other
136,136,136,crop_other
158,158,159,crop_other
175,175,176,crop_other
174,175,175,crop_other
175,175,176,crop_other
164,165,165,crop_other
144,144,144,crop_other
128,128,128,crop_other
129,129,129,crop_other
136,136,136,crop_other
144,144,144,crop_other
152,152,152,crop_other
158,158,159,crop_other
160,160,161,crop_other
150,150,150,crop_other
129,129,129,crop_other
122,122,122,crop_other
131,131,131,crop_other
128,128,128,crop_other
110,110,109,crop_other
129,129,129,crop_other
140,140,140,crop_other
155,156,156,crop_other
175,175,176,crop_other
170,171,171,crop_other
148,148,148,crop_other
144,145,145,crop_other
162,163,163,crop_other
175,175,176,crop_other
181,181,182,crop_other
180,180,181,crop_other
165,166,166,crop_other
144,145,145,crop_other
146,147,147,crop_other
169,170,171,crop_other
176,176,177,crop_other
161,162,162,crop_other
159,159,160,crop_other
148,148,148,crop_other
123,123,123,crop_other
101,101,100,crop_other
104,104,103,crop_other
124,124,124,crop_other
144,145,145,crop_other
159,159,160,crop_other
143,143,143,crop_other
148,148,148,crop_other
141,141,141,crop_other
124,124,124,crop_other
133,133,132,crop_other
164,165,165,crop_other
171,172,172,crop_other
148,148,148,crop_other
125,125,125,crop_other
144,144,144,crop_other
165,166,166,crop_other
185,185,186,crop_other
177,178,178,crop_other
150,150,150,crop_other
138,138,138,crop_other
146,147,147,crop_other
153,154,154,crop_other
154,155,155,crop_other
169,169,170,crop_other
169,169,170,crop_other
153,154,154,crop_other
152,153,153,crop_other
165,166,166,crop_other
161,161,161,crop_other
139,139,139,crop_other
136,136,136,crop_other
133,133,132,crop_other
119,119,118,crop_other
106,106,105,crop_other
109,109,108,crop_other
120,120,120,crop_other
126,126,126,crop_other
124,124,124,crop_other
123,123,123,crop_other
137,137,137,crop_other
142,142,142,crop_other
134,135,134,crop_other
145,146,146,crop_other
180,180,181,crop_other
191,191,192,crop_other
171,172,172,crop_other
124,124,124,crop_other
146,147,147,crop_other
167,167,168,crop_other
183,184,184,crop_other
173,174,174,crop_other
144,144,144,crop_other
126,126,126,crop_other
126,126,126,crop_other
128,128,128,crop_other
133,133,132,crop_other
154,155,155,crop_other
164,165,165,crop_other
156,157,157,crop_other
148,148,148,crop_other
146,147,147,crop_other
138,138,138,crop_other
