161,161,161
143,143,143
125,125,125
142,142,142
157,158,158
165,166,166
138,138,138
85,85,85
80,80,79
115,115,114
159,159,160
169,170,171
140,140,140
116,116,115
107,107,106
106,106,105
106,106,105
161,161,161
159,159,160
186,187,187
202,203,203
212,212,213
213,214,214
185,185,186
139,139,139
128,128,128
138,138,138
159,159,160
140,140,140
116,116,115
122,122,122
138,138,138
146,147,147
115,115,114
154,155,155
156,157,157
213,213,213
235,235,235
248,248,248
247,247,247
226,226,226
204,204,205
185,185,186
163,164,164
146,147,147
97,97,96
87,87,87
107,107,106
135,136,135
136,136,136
98,98,97
144,145,145
149,149,149
203,203,204
230,230,230
248,248,248
254,254,254
245,245,245
242,243,243
223,224,224
181,181,182
143,143,143
71,71,71
55,55,54
59,59,58
83,83,82
79,79,78
49,49,48
156,157,157
176,177,178
230,230,230
246,246,246
254,254,254
254,254,254
251,251,251
255,255,255
238,238,238
200,200,200
178,179,179
132,132,132
88,88,88
45,45,44
38,38,37
43,42,42
32,32,32
181,181,182
217,218,218
255,255,255
255,255,255
245,245,245
236,237,237
237,237,237
248,248,248
235,235,235
216,216,217
219,219,220
204,205,205
152,152,152
80,80,79
39,39,38
49,49,48
49,49,48
214,215,215
242,242,242
240,240,240
225,225,226
206,207,207
205,206,206
218,219,219
220,221,221
213,214,214
215,216,216
230,230,230
247,247,247
213,214,214
154,155,155
99,99,98
34,35,34
40,40,40
222,222,223
228,228,229
186,186,187
165,166,166
147,148,148
152,153,153
183,184,184
186,186,187
195,196,196
209,209,209
213,214,214
242,242,242
242,242,242
213,214,214
156,157,157
19,20,19
19,20,19
180,180,181
169,170,171
129,129,129
120,120,120
105,105,104
103,103,102
157,158,158
175,175,176
193,194,194
204,204,205
181,181,182
190,190,191
213,214,214
204,205,205
144,144,144
24,24,24
19,20,19
122,122,122
103,103,102
86,86,86
85,85,85
75,75,74
70,70,70
118,118,117
174,175,175
194,194,195
195,195,196
163,164,164
160,160,161
186,187,187
186,187,187
157,158,158
46,46,45
20,21,21
76,76,75
50,50,49
63,62,62
73,72,72
65,65,64
48,48,47
76,76,75
139,139,139
173,174,174
187,188,188
179,180,180
198,199,199
222,222,223
220,221,221
196,197,197
69,69,68
24,24,24
76,76,75
50,50,49
63,62,62
73,72,72
65,65,64
48,48,47
76,76,75
139,139,139
173,174,174
187,188,188
179,180,180
198,199,199
222,222,223
220,221,221
196,197,197
69,69,68
24,24,24
56,56,55
34,35,34
55,55,54
65,65,64
53,52,52
34,35,34
55,55,54
104,104,103
140,140,140
167,167,168
179,180,180
205,206,206
220,220,220
220,221,221
209,209,209
131,131,131
87,87,87
60,60,60
45,45,44
63,62,62
60,60,60
38,38,37
34,35,34
63,62,62
80,80,79
102,102,101
132,132,132
152,153,153
160,160,161
160,160,161
169,170,171
182,183,183
206,207,207
181,182,183
62,61,61
40,40,40
50,50,49
49,49,48
30,30,30
31,31,31
53,52,52
56,56,55
70,70,70
91,91,91
114,114,113
95,95,94
79,79,78
103,103,102
145,146,146
223,223,223
209,209,209
51,51,51
26,27,26
27,28,27
38,38,37
33,33,33
27,28,27
28,29,28
40,40,40
50,50,49
62,61,61
78,78,77
48,48,47
27,28,27
54,54,53
108,108,107
174,175,175
157,158,158
37,37,36
28,29,28
24,24,24
28,29,28
30,30,30
30,30,30
32,32,32
44,44,43
41,41,41
41,41,41
49,49,48
32,32,32
24,24,24
38,38,37
79,79,78
116,116,115
95,95,94
39,39,38
56,56,55
32,32,32
19,20,19
19,20,19
30,30,30
53,52,52
53,52,52
36,36,35
30,30,30
31,31,31
34,35,34
43,42,42
48,48,47
70,70,70
79,79,78
65,65,64
86,86,86
59,59,58
28,29,28
33,33,33
37,37,36
31,31,31
37,37,36
40,40,40
37,37,36
21,22,22
21,22,22
37,37,36
