92,92,92
98,98,97
107,107,106
110,110,109
96,96,95
97,97,96
114,114,113
98,98,97
73,72,72
78,78,77
85,85,85
85,85,85
87,87,87
92,92,92
101,101,100
102,102,101
95,95,94
85,85,85
85,85,85
91,91,91
91,91,91
104,104,103
128,128,128
129,129,129
116,116,115
114,114,113
85,85,85
91,91,91
100,100,99
95,95,94
80,80,79
87,87,87
104,104,103
89,89,89
68,68,67
76,76,75
91,91,91
91,91,91
97,97,96
108,108,107
115,115,114
110,110,109
97,97,96
85,85,85
77,77,76
83,83,82
89,89,89
107,107,106
126,126,126
127,127,127
119,119,118
118,118,117
89,89,89
99,99,98
89,89,89
76,76,75
66,66,65
80,80,79
96,96,95
84,84,83
69,69,68
75,75,74
96,96,95
92,92,92
98,98,97
111,111,110
119,119,118
113,113,112
102,102,101
93,93,93
82,82,81
84,84,83
90,90,90
106,106,105
119,119,118
120,120,120
117,117,116
118,118,117
105,105,104
120,120,120
100,100,99
78,78,77
70,70,70
81,81,80
96,96,95
87,87,87
67,67,66
71,71,71
85,85,85
88,88,88
95,95,94
98,98,97
96,96,95
92,92,92
98,98,97
105,105,104
95,95,94
89,89,89
91,91,91
105,105,104
110,110,109
115,115,114
125,125,125
116,116,115
115,115,114
127,127,127
109,109,108
95,95,94
86,86,86
86,86,86
91,91,91
83,83,82
67,67,66
71,71,71
84,84,83
86,86,86
88,88,88
86,86,86
81,81,80
82,82,81
95,95,94
109,109,108
108,108,107
100,100,99
101,101,100
112,112,111
117,117,116
129,129,129
143,143,143
133,133,132
115,115,114
122,122,122
122,122,122
112,112,111
103,103,102
88,88,88
81,81,80
75,75,74
65,65,64
70,70,70
81,81,80
84,84,83
86,86,86
80,80,79
73,72,72
75,75,74
92,92,92
111,111,110
110,110,109
102,102,101
105,105,104
118,118,117
126,126,126
145,146,146
163,164,164
150,150,150
99,99,98
101,101,100
113,113,112
109,109,108
111,111,110
105,105,104
96,96,95
84,84,83
70,70,70
73,72,72
80,80,79
85,85,85
88,88,88
84,84,83
78,78,77
80,80,79
93,93,93
107,107,106
105,105,104
98,98,97
102,102,101
115,115,114
122,122,122
144,145,145
163,164,164
147,148,148
82,82,81
85,85,85
83,83,82
87,87,87
112,112,111
128,128,128
123,123,123
103,103,102
78,78,77
73,72,72
81,81,80
85,85,85
88,88,88
85,85,85
82,82,81
84,84,83
93,93,93
101,101,100
104,104,103
97,97,96
96,96,95
101,101,100
103,103,102
122,122,122
140,140,140
126,126,126
79,79,78
85,85,85
68,68,67
74,74,73
103,103,102
123,123,123
118,118,117
99,99,98
75,75,74
69,69,68
82,82,81
85,85,85
85,85,85
80,80,79
77,77,76
82,82,81
90,90,90
97,97,96
102,102,101
97,97,96
90,90,90
88,88,88
85,85,85
98,98,97
115,115,114
109,109,108
79,79,78
86,86,86
74,74,73
76,76,75
96,96,95
100,100,99
90,90,90
82,82,81
75,75,74
77,77,76
81,81,80
85,85,85
85,85,85
77,77,76
71,71,71
76,76,75
87,87,87
96,96,95
99,99,98
101,101,100
95,95,94
90,90,90
85,85,85
86,86,86
98,98,97
100,100,99
78,78,77
80,80,79
77,77,76
81,81,80
97,97,96
90,90,90
77,77,76
80,80,79
86,86,86
91,91,91
78,78,77
87,87,87
89,89,89
79,79,78
69,69,68
73,72,72
85,85,85
96,96,95
103,103,102
110,110,109
105,105,104
102,102,101
93,93,93
82,82,81
85,85,85
88,88,88
78,78,77
76,76,75
